TSR_EVENT_SMAS_HISTORY_ID,TSR_EVENT_SMAS_SAMPLE_DATE,TSR_SED_TEST_DATE,TSR_POREWATER_TEST_DATE,TSR_SEDIMENT_RSLT,TSR_SEDIMENT_RSLT_QLFR,TSR_POREWATER_RSLT,TSR_POREWATER_RSLT_QLFR,TSR_SEDIMENT_ASMT,TSR_POREWATER_ASMT
10-TWOB-1.3,8/19/2009,1/12/2009,1/14/2010,46.29,,100,,Non-toxic,Non-toxic
10-MKZI-0.8,6/18/2014,7/14/2014,7/14/2014,41.33,,100,,Moderate,Non-toxic
10-SABL-2.2,8/18/2009,1/12/2009,1/14/2010,29.07,,100,,Slight,Non-toxic
10-BOQT-2.8,8/10/2004,11/2/2004,11/4/2004,3.35,,100,,Moderate,Non-toxic
10-BOQT-28.6,6/18/2014,7/14/2014,7/14/2014,70.3,,100,,Slight,Non-toxic
10-SABL_W-25.6,8/11/2004,10/27/2004,10/27/2004,26.94,,,,Slight,Insufficient Data
10-BLAR-1.1,8/18/2009,1/12/2009,1/14/2010,43.38,,100,,Non-toxic,Non-toxic
10-SABL_E-17.2,8/20/2009,1/12/2009,1/14/2010,43.29,,100,,Non-toxic,Non-toxic
10-SABL_E-17.2,6/18/2014,7/14/2014,7/14/2014,100,,100,,Non-toxic,Non-toxic
10-CADE-0.1,8/11/2004,10/27/2004,10/28/2004,43.23,,100,,Non-toxic,Non-toxic
10-PUTM-13.2,8/20/2009,1/12/2009,1/14/2010,26.48,,100,,Slight,Non-toxic
10-LCHU-2.0,8/11/2004,10/27/2004,10/28/2004,0.436,,100,,Severe,Non-toxic
